Date,Name,Year,Letterboxd URI,Rating
2024-12-09,The First Charge of the Machete,1969,https://boxd.it/7TSq,4
2024-12-19,Nosferatu,2024,https://boxd.it/f5eG,2.5
2024-12-20,The Flamenco Guitar of Yerai Cortés,2024,https://boxd.it/Oggy,4
2024-12-26,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,2
2025-01-02,Wings of Desire,1987,https://boxd.it/2b26,3.5
2025-01-02,Totally F***ed Up,1993,https://boxd.it/1fg0,3.5
2025-01-03,Queer,2024,https://boxd.it/E4RW,4
2025-01-04,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,3
2025-01-04,"Paris, Texas",1984,https://boxd.it/29Ts,3.5
2025-01-05,The Doom Generation,1995,https://boxd.it/1PVe,3.5
2025-01-05,Heretic,2024,https://boxd.it/H1lY,3
2025-01-05,Inland Empire,2006,https://boxd.it/28d6,4.5
2025-01-06,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,3
2025-01-06,Diabolique,1955,https://boxd.it/29we,3.5
2025-01-07,Nowhere,1997,https://boxd.it/286E,4
2025-01-08,A History of Violence,2005,https://boxd.it/2bfa,3
2025-01-08,Ghostland,2018,https://boxd.it/h5Uw,2.5
2025-01-09,Man Bites Dog,1992,https://boxd.it/1X7Q,3
2025-01-10,Thief,1981,https://boxd.it/1TEc,4
2025-01-11,Absurda,2007,https://boxd.it/JyOS,5
