Date,Name,Year,Letterboxd URI,Rating
2022-03-07,Pretty Woman,1990,https://boxd.it/2b6M,3.5
2022-03-09,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.5
2022-03-13,Saving Private Ryan,1998,https://boxd.it/29ro,4.5
2022-03-13,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
2022-04-09,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,2.5
2022-04-09,The Day of the Beast,1995,https://boxd.it/1Vyg,3.5
2022-04-10,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3
2022-04-11,Worth,2020,https://boxd.it/o7ZM,3
2022-04-25,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-06-23,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2022-06-28,Erin Brockovich,2000,https://boxd.it/2al2,3.5
2022-07-10,Brokeback Mountain,2005,https://boxd.it/2b2q,5
2022-07-28,The Purple Rose of Cairo,1985,https://boxd.it/1VeU,4
2022-07-28,Take the Money and Run,1969,https://boxd.it/1TJQ,3.5
2022-07-30,Operation Mincemeat,2021,https://boxd.it/oAY4,3.5
2022-08-04,Memoirs of a Geisha,2005,https://boxd.it/27TA,2.5
2022-08-15,Blinded by the Light,2019,https://boxd.it/jrYO,3
2022-08-15,The Amazing Spider-Man,2012,https://boxd.it/27PI,3.5
2022-08-15,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,2.5
2022-08-15,Normal People,2020,https://boxd.it/q2VY,5
2022-08-17,Zero Dark Thirty,2012,https://boxd.it/3n1w,3.5
2022-08-21,Barton Fink,1991,https://boxd.it/2aFQ,2
2022-08-21,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,1.5
2022-08-27,Hot Summer Nights,2017,https://boxd.it/bFIE,3
2022-09-12,The Queen,2006,https://boxd.it/292e,3
2022-10-02,Belfast,2021,https://boxd.it/tefG,3.5
2022-10-02,Boiling Point,2021,https://boxd.it/uo2u,5
2022-10-02,Carol,2015,https://boxd.it/7DPK,4.5
2022-10-02,Do Revenge,2022,https://boxd.it/sFiA,2.5
2022-10-02,Not Okay,2022,https://boxd.it/vCEY,2.5
2022-10-02,Ready or Not,2019,https://boxd.it/kOf0,2
2022-10-02,The Great Gatsby,2013,https://boxd.it/JY,2
2022-10-02,Land of Mine,2015,https://boxd.it/b5ee,4.5
2022-10-02,Annie Hall,1977,https://boxd.it/29M2,5
2022-10-02,Shiva Baby,2020,https://boxd.it/oIv0,4
2022-10-09,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,3.5
2022-10-09,Don't Look Up,2021,https://boxd.it/o0Hc,3
2022-10-22,Beetlejuice,1988,https://boxd.it/24QI,3
2022-10-27,The 12th Suspect,2019,https://boxd.it/mmRY,1.5
2022-10-27,Queer You Are,2021,https://boxd.it/yFa4,4
2022-10-30,East of Eden,1955,https://boxd.it/2aQE,2
2022-10-30,Hot Fuzz,2007,https://boxd.it/2416,3
2022-11-01,Chungking Express,1994,https://boxd.it/1UDa,3
2022-11-02,Stalker,1979,https://boxd.it/28PO,4
2022-11-06,Entergalactic,2022,https://boxd.it/CPN4,2.5
2022-11-08,Lethal Weapon,1987,https://boxd.it/29e0,3.5
2022-11-13,Gattaca,1997,https://boxd.it/29Du,3.5
2022-11-13,The Front Page,1974,https://boxd.it/299a,4
2022-11-19,Holmes & Watson: Madrid Days,2012,https://boxd.it/42ak,2
2022-11-20,Cousinhood,2011,https://boxd.it/oB0,3.5
2022-12-04,Turning Red,2022,https://boxd.it/ipkq,2.5
2022-12-04,Sunshine on Leith,2013,https://boxd.it/6nzu,3.5
2022-12-04,Nope,2022,https://boxd.it/sDCe,1.5
2022-12-05,Bones and All,2022,https://boxd.it/tLd4,2.5
2022-12-05,The Menu,2022,https://boxd.it/lScm,2
2022-12-05,Anatomy of a Murder,1959,https://boxd.it/2baa,4.5
2022-12-17,It's a Wonderful Life,1946,https://boxd.it/28xA,2.5
2022-12-25,Monty Python's The Meaning of Life,1983,https://boxd.it/249E,4.5
2022-12-26,All Quiet on the Western Front,2022,https://boxd.it/H08,4.5
2022-12-26,GoodFellas,1990,https://boxd.it/29FA,4
2022-12-31,Aftersun,2022,https://boxd.it/Arw0,5
2023-01-23,The Pale Blue Eye,2022,https://boxd.it/u8tk,3.5
2023-01-24,The Blues Brothers,1980,https://boxd.it/2adi,4
2023-01-24,Marie Antoinette,2006,https://boxd.it/27Wa,4
2023-01-24,Miss Sloane,2016,https://boxd.it/d4QA,3.5
2023-01-24,Gosford Park,2001,https://boxd.it/239e,2
2023-01-24,The Batman,2022,https://boxd.it/eDGs,3.5
2023-01-25,Le Cercle Rouge,1970,https://boxd.it/1Tjy,3
2023-02-14,Babylon,2022,https://boxd.it/mM02,3.5
