title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
the fifth element,The Fifth Element,18,1997,Luc Besson,Science Fiction|Action|Adventure,new york city|flying car|taxi|egypt|race against time|saving the world|cyborg|dystopia|anti hero|stowaway|space travel|chosen one|arms dealer|alien life-form|end of the world|priest|shootout|police chase|cab driver|cyberpunk,,,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",13.1274,7.6,https://letterboxd.com/film/the-fifth-element/
the first charge of the machete,The First Charge of the Machete,264972,1969,Manuel Octavio Gómez,Drama,machete,,,Cuban peasants wield machetes in a violent uprising against Spanish authorities in the late 19th century.,0.079,6.8,https://letterboxd.com/film/the-first-charge-of-the-machete/
the first omen,The First Omen,437342,2024,Arkasha Stevenson,Horror,"rome, italy|nun|prophecy|italy|1970s|satanism|devil's son|revelation|anti-christ|prequel|priest|female protagonist|church|dark secret|shocking|religious horror|suspenseful",,,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",4.9381,6.822,https://letterboxd.com/film/the-first-omen/
the first purge,The First Purge,442249,2018,Gerard McMurray,Action|Horror|Thriller,"new york city|new jersey|dystopia|sequel|prequel|murder|church|survival horror|social media|staten island, new york city|purge|abuse of power|apartment buildings",,,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial",3.6038,6.0,https://letterboxd.com/film/the-first-purge/
the fisher king,The Fisher King,177,1991,Terry Gilliam,Comedy|Drama,homeless person|unsociability|holy grail|sense of guilt|loss of loved one|cynic|gun rampage|talk show|suppressed past|yuppie|forgiveness|legend|self-discovery|housebreaking|mental illness|fugue state|whimsical|exuberant|joyful,,,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,3.4174,7.316,https://letterboxd.com/film/the-fisher-king/
the flamenco guitar of yerai cortés,The Flamenco Guitar of Yerai Cortés,1317099,2024,Antón Álvarez,Documentary|Music,family history|flamenco|music documentary,,,"A thoughtful exploration of gypsy culture, an intimate portrait of flamenco guitar player Yerai Cortés and a healing family exorcism through music. Antón Álvarez (aka C. Tangana) makes his filmmaking debut with this documentary.",0.3697,7.0,https://letterboxd.com/film/the-flamenco-guitar-of-yerai-cort-s/
the flash,The Flash,298618,2023,Andy Muschietti,Action|Science Fiction|Adventure,secret identity|superhero|time travel|based on comic|superhuman|super power|aftercreditsstinger|time paradox|butterfly effect|dc extended universe (dceu)|superhuman abilities|loss of mother|alternate universe|admiring,,,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for ",12.9495,6.617,https://letterboxd.com/film/the-flash/
the florida project,The Florida Project,394117,2017,Sean Baker,Drama,florida|friendship|parent child relationship|drug addiction|innocence|motel|drug use|summer|single mother|social services|prostitute mother|children's perspectives|kids|orlando florida|generation z|lower class|peer relationship|mother daughter relationship|unfit mother|non-professional acting,,,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",4.0727,7.43,https://letterboxd.com/film/the-florida-project/
the fountainhead,The Fountainhead,24650,1949,King Vidor,Drama|Romance,new york city|newspaper|based on novel or book|architect|integrity|objectivism|ayn rand,,,"An uncompromising, visionary architect struggles to maintain his integrity and individualism despite personal, professional and economic pressures to conform to popular standards.",1.6262,6.8,https://letterboxd.com/film/the-fountainhead/
"the french dispatch of the liberty, kansas evening sun","The French Dispatch of the Liberty, Kansas Evening Sun",542178,2021,Wes Anderson,Drama|Comedy,art collector|journalist|small town|france|poison|1970s|journalism|editor-in-chief|artist|imprisonment|painter|riot|anthology|magazine|food poisoning|murderer|chef|lecture|post world war ii|child kidnapping,,,"The staff of an American magazine based in France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",5.4289,7.011,https://letterboxd.com/film/the-french-dispatch-of-the-liberty-kansas-evening-sun/
the front page,The Front Page,987,1974,Billy Wilder,Comedy,"chicago, illinois|newspaper|journalist|marriage proposal|stress|father-in-law|newspaper man",,,Ruthless Chicago newspaper editor Walter Burns resorts to dubious motives in order to get top reporter Hildy Johnson to cover one more big crime story before retirement.,1.9791,7.3,https://letterboxd.com/film/the-front-page/
the game,The Game,2649,1997,David Fincher,Drama|Thriller|Mystery,"san francisco, california|manipulation|danger of life|puzzle|birthday present|conspiracy thriller",,,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ",9.3683,7.57,https://letterboxd.com/film/the-game/
